origin,mode,h,date,actual,model,yhat
2025-08-01,rail_lrt_kj,1,2025-08-02,174831.0,seasonal_naive,185963.0
2025-08-01,rail_lrt_kj,2,2025-08-03,149570.0,seasonal_naive,146739.0
2025-08-01,rail_lrt_kj,3,2025-08-04,291599.0,seasonal_naive,287166.0
2025-08-01,rail_lrt_kj,4,2025-08-05,313375.0,seasonal_naive,300777.0
2025-08-01,rail_lrt_kj,5,2025-08-06,315200.0,seasonal_naive,307186.0
2025-08-01,rail_lrt_kj,6,2025-08-07,311523.0,seasonal_naive,301414.0
2025-08-01,rail_lrt_kj,7,2025-08-08,304869.0,seasonal_naive,295086.0
2025-08-01,rail_lrt_kj,8,2025-08-09,183453.0,seasonal_naive,185963.0
2025-08-01,rail_lrt_kj,9,2025-08-10,156323.0,seasonal_naive,146739.0
2025-08-01,rail_lrt_kj,10,2025-08-11,298124.0,seasonal_naive,287166.0
2025-08-01,rail_lrt_kj,11,2025-08-12,313864.0,seasonal_naive,300777.0
2025-08-01,rail_lrt_kj,12,2025-08-13,317711.0,seasonal_naive,307186.0
2025-08-01,rail_lrt_kj,13,2025-08-14,310138.0,seasonal_naive,301414.0
2025-08-01,rail_lrt_kj,14,2025-08-15,302575.0,seasonal_naive,295086.0
2025-08-01,rail_lrt_kj,1,2025-08-02,174831.0,weekday_mean,176569.75
2025-08-01,rail_lrt_kj,2,2025-08-03,149570.0,weekday_mean,147774.5
2025-08-01,rail_lrt_kj,3,2025-08-04,291599.0,weekday_mean,290622.75
2025-08-01,rail_lrt_kj,4,2025-08-05,313375.0,weekday_mean,305807.5
2025-08-01,rail_lrt_kj,5,2025-08-06,315200.0,weekday_mean,310884.0
2025-08-01,rail_lrt_kj,6,2025-08-07,311523.0,weekday_mean,305454.5
2025-08-01,rail_lrt_kj,7,2025-08-08,304869.0,weekday_mean,297984.5
2025-08-01,rail_lrt_kj,8,2025-08-09,183453.0,weekday_mean,176569.75
2025-08-01,rail_lrt_kj,9,2025-08-10,156323.0,weekday_mean,147774.5
