mode,date,h,model,yhat,lo,hi
rail_lrt_kj,2026-08-01,1,seasonal_naive,181076.0,163310.82085273822,209794.86343771915
rail_lrt_kj,2026-08-02,2,seasonal_naive,152416.0,131106.35714554813,181586.39357518972
rail_lrt_kj,2026-08-03,3,seasonal_naive,289607.0,219930.92680155582,374575.10572945594
rail_lrt_kj,2026-08-04,4,seasonal_naive,304102.0,256263.94828006817,371070.7377412092
rail_lrt_kj,2026-08-05,5,seasonal_naive,310848.0,252715.3668246147,361636.8551113461
rail_lrt_kj,2026-08-06,6,seasonal_naive,306763.0,248647.47829511046,342496.55212468025
rail_lrt_kj,2026-08-07,7,seasonal_naive,302283.0,229337.3528119464,336622.41741634463
rail_lrt_kj,2026-08-08,8,seasonal_naive,181076.0,159728.81318768306,211791.00755662168
rail_lrt_kj,2026-08-09,9,seasonal_naive,152416.0,127425.49395695812,181625.21979459326
rail_lrt_kj,2026-08-10,10,seasonal_naive,289607.0,243794.7394240079,357319.61582815286
rail_lrt_kj,2026-08-11,11,seasonal_naive,304102.0,252784.79035327715,364388.0893312785
rail_lrt_kj,2026-08-12,12,seasonal_naive,310848.0,255520.25412241713,376929.3343860115
rail_lrt_kj,2026-08-13,13,seasonal_naive,306763.0,269844.8468125109,353802.9177645308
rail_lrt_kj,2026-08-14,14,seasonal_naive,302283.0,263830.8061302192,341195.6038910489
rail_lrt_kj,2026-08-01,1,weekday_mean,174087.75,156564.4621123404,194714.152791282
rail_lrt_kj,2026-08-02,2,weekday_mean,150406.25,129524.97608652154,176121.0978310497
rail_lrt_kj,2026-08-03,3,weekday_mean,289047.25,231803.16561676585,338084.2052944357
rail_lrt_kj,2026-08-04,4,weekday_mean,304506.75,231336.9358271294,351546.15934063843
rail_lrt_kj,2026-08-05,5,weekday_mean,308382.25,258501.2817377579,353470.9874483423
rail_lrt_kj,2026-08-06,6,weekday_mean,303904.75,251579.97179605564,341023.7000485048
rail_lrt_kj,2026-08-07,7,weekday_mean,298323.5,235825.86906591986,341150.88443880936
rail_lrt_kj,2026-08-08,8,weekday_mean,174087.75,153968.6452481034,198397.23846737153
rail_lrt_kj,2026-08-09,9,weekday_mean,150406.25,128668.77364496136,171929.6083367127
rail_lrt_kj,2026-08-10,10,weekday_mean,289047.25,230739.05699496233,336886.9818837837
rail_lrt_kj,2026-08-11,11,weekday_mean,304506.75,250780.37081198013,345254.6698579752
rail_lrt_kj,2026-08-12,12,weekday_mean,308382.25,270112.7887926682,352077.0347866364
rail_lrt_kj,2026-08-13,13,weekday_mean,303904.75,273067.38794809516,341748.9785977651
rail_lrt_kj,2026-08-14,14,weekday_mean,298323.5,271641.7152808763,347981.8991051389
rail_lrt_kj,2026-08-01,1,ets,181885.57829950057,166007.47265464184,196993.93024451655
rail_lrt_kj,2026-08-02,2,ets,157764.1979440719,140989.41384627705,175899.03857821564
rail_lrt_kj,2026-08-03,3,ets,282508.77913099475,230443.4111764168,325248.16835044546
rail_lrt_kj,2026-08-04,4,ets,304719.1562536862,256887.4867524803,351525.52292757144
rail_lrt_kj,2026-08-05,5,ets,312880.83026119974,268399.9521356491,349024.7829125873
rail_lrt_kj,2026-08-06,6,ets,308651.86279123387,252566.7050902336,349605.9837993573
rail_lrt_kj,2026-08-07,7,ets,297861.5327352693,235510.73128426218,337230.17492989445
rail_lrt_kj,2026-08-08,8,ets,181884.3484393107,155512.49275857926,202725.85783033122
rail_lrt_kj,2026-08-09,9,ets,157763.152964911,137099.68931058183,179453.5309238854
rail_lrt_kj,2026-08-10,10,ets,282506.9460939556,224826.54828106269,326606.40471934254
rail_lrt_kj,2026-08-11,11,ets,304717.2194737903,255268.72865047088,347083.0273268935
rail_lrt_kj,2026-08-12,12,ets,312878.8822082367,263459.93581470795,358685.8371281324
rail_lrt_kj,2026-08-13,13,ets,308649.9803039286,270236.6748924769,350853.07546347484
rail_lrt_kj,2026-08-14,14,ets,297859.7531493774,266893.1152825893,341567.0549859914
rail_lrt_kj,2026-08-01,1,lgbm_nohol,176490.5130005251,161847.45810591287,191063.93106548194
rail_lrt_kj,2026-08-02,2,lgbm_nohol,152479.79632435343,136257.31877906588,171440.42642545552
rail_lrt_kj,2026-08-03,3,lgbm_nohol,289226.3423921167,227340.77689221632,310163.747064671
rail_lrt_kj,2026-08-04,4,lgbm_nohol,304766.0776541049,250743.7333086883,327277.1447031813
rail_lrt_kj,2026-08-05,5,lgbm_nohol,310141.2013795773,266552.15853406343,335990.5103538623
rail_lrt_kj,2026-08-06,6,lgbm_nohol,305000.87081210973,247046.98127211898,328516.63858895714
rail_lrt_kj,2026-08-07,7,lgbm_nohol,302763.79340374423,235873.21757539528,326098.1155222309
rail_lrt_kj,2026-08-08,8,lgbm_nohol,177352.6417913984,154742.83961101525,193788.44959968305
rail_lrt_kj,2026-08-09,9,lgbm_nohol,153094.25042200138,132628.18224791743,167904.58725275152
rail_lrt_kj,2026-08-10,10,lgbm_nohol,291242.8423108345,242402.3236163879,309088.6491288997
rail_lrt_kj,2026-08-11,11,lgbm_nohol,307145.6348669367,261319.59789423685,328367.4080956067
rail_lrt_kj,2026-08-12,12,lgbm_nohol,310674.961985604,269177.99447239144,346835.4897581547
rail_lrt_kj,2026-08-13,13,lgbm_nohol,305479.0174839986,272727.13785183366,330533.08736486576
rail_lrt_kj,2026-08-14,14,lgbm_nohol,302688.1777943473,272983.18017617875,337800.54322351585
rail_lrt_kj,2026-08-01,1,lgbm,175792.87492461444,161950.74748024417,188081.693671382
rail_lrt_kj,2026-08-02,2,lgbm,151931.63529850743,136950.60893882555,165703.67737098158
rail_lrt_kj,2026-08-03,3,lgbm,292564.92465210037,257397.26056841583,315018.0272428693
rail_lrt_kj,2026-08-04,4,lgbm,305056.3312363188,258784.15478491285,322624.27579167724
rail_lrt_kj,2026-08-05,5,lgbm,312610.7001313041,277193.3408884107,334974.34245860693
rail_lrt_kj,2026-08-06,6,lgbm,306226.728955473,262821.1943468797,333419.5594650898
rail_lrt_kj,2026-08-07,7,lgbm,302376.4989162521,263610.67684871296,328137.87772622996
rail_lrt_kj,2026-08-08,8,lgbm,176693.12864062336,153025.01415250904,194047.82478721745
rail_lrt_kj,2026-08-09,9,lgbm,152774.09937279983,132517.83448229238,167845.51024327643
rail_lrt_kj,2026-08-10,10,lgbm,294212.69470644253,264707.09120280604,309834.25969883555
rail_lrt_kj,2026-08-11,11,lgbm,306738.91754765867,273109.18863602704,327403.32445721846
rail_lrt_kj,2026-08-12,12,lgbm,310212.18953539286,274227.08574587235,335937.2815280105
rail_lrt_kj,2026-08-13,13,lgbm,303846.2360090904,275426.6078417451,326074.7918922317
rail_lrt_kj,2026-08-14,14,lgbm,298839.3292986382,275598.45305972715,323872.9882972927
rail_lrt_ampang,2026-08-01,1,seasonal_naive,164119.0,148017.44540362046,190148.4784395503
rail_lrt_ampang,2026-08-02,2,seasonal_naive,139478.0,119977.23777730776,166172.24884018122
rail_lrt_ampang,2026-08-03,3,seasonal_naive,222940.0,169303.17562037543,288348.67123639776
rail_lrt_ampang,2026-08-04,4,seasonal_naive,227881.0,192033.1757363736,278064.5558805475
rail_lrt_ampang,2026-08-05,5,seasonal_naive,232268.0,188830.8051722425,270217.86179095705
rail_lrt_ampang,2026-08-06,6,seasonal_naive,232692.0,188609.0075625696,259797.35605399648
rail_lrt_ampang,2026-08-07,7,seasonal_naive,233242.0,176956.97801046967,259738.37009051247
rail_lrt_ampang,2026-08-08,8,seasonal_naive,164119.0,144770.87572338025,191957.69315370108
rail_lrt_ampang,2026-08-09,9,seasonal_naive,139478.0,116608.82666384046,166207.779274819
rail_lrt_ampang,2026-08-10,10,seasonal_naive,222940.0,187673.6013332773,275065.3497325498
rail_lrt_ampang,2026-08-11,11,seasonal_naive,227881.0,189426.04109227937,273056.86018220906
rail_lrt_ampang,2026-08-12,12,seasonal_naive,232268.0,190926.64066720393,281644.53155231144
rail_lrt_ampang,2026-08-13,13,seasonal_naive,232692.0,204688.0757466442,268373.69532403385
rail_lrt_ampang,2026-08-14,14,seasonal_naive,233242.0,203572.20254208203,263267.0508441066
rail_lrt_ampang,2026-08-01,1,weekday_mean,153475.0,138026.53402016812,171659.16063527815
rail_lrt_ampang,2026-08-02,2,weekday_mean,135063.5,116312.28408130593,158155.22639534884
rail_lrt_ampang,2026-08-03,3,weekday_mean,223141.75,178949.81176648036,260997.85553264868
rail_lrt_ampang,2026-08-04,4,weekday_mean,228357.25,173485.31088731097,263633.32162071194
rail_lrt_ampang,2026-08-05,5,weekday_mean,230022.75,192816.42516454955,263654.5392448215
rail_lrt_ampang,2026-08-06,6,weekday_mean,228438.75,189107.2820968279,256340.30720759806
rail_lrt_ampang,2026-08-07,7,weekday_mean,229878.5,181719.7864169356,262879.9387725488
rail_lrt_ampang,2026-08-08,8,weekday_mean,153475.0,135738.07144544323,174906.15538493037
rail_lrt_ampang,2026-08-09,9,weekday_mean,135063.5,115543.42117962995,154391.30256316732
rail_lrt_ampang,2026-08-10,10,weekday_mean,223141.75,178128.32911032194,260073.60941035848
rail_lrt_ampang,2026-08-11,11,weekday_mean,228357.25,188066.4464647447,258915.17067659184
rail_lrt_ampang,2026-08-12,12,weekday_mean,230022.75,201477.47402476464,262614.7868634322
rail_lrt_ampang,2026-08-13,13,weekday_mean,228438.75,205258.93429135816,256885.48429119514
rail_lrt_ampang,2026-08-14,14,weekday_mean,229878.5,209318.35381576166,268143.7043566309
rail_lrt_ampang,2026-08-01,1,ets,170636.56698882012,155740.4633787519,184810.52331485113
rail_lrt_ampang,2026-08-02,2,ets,147176.19215802607,131527.2045819082,164093.95957155112
rail_lrt_ampang,2026-08-03,3,ets,219193.86903702945,178797.17358360687,252354.6851032805
rail_lrt_ampang,2026-08-04,4,ets,229615.28275512374,193572.60581551562,264885.36156140827
rail_lrt_ampang,2026-08-05,5,ets,233313.69986272365,200144.49115274695,260266.0973786517
rail_lrt_ampang,2026-08-06,6,ets,231627.7338539902,189538.5921923726,262361.7795693898
rail_lrt_ampang,2026-08-07,7,ets,231278.60580509025,182865.43799644604,261846.948739134
rail_lrt_ampang,2026-08-08,8,ets,170636.56698882012,145895.54563139164,190189.23841273654
rail_lrt_ampang,2026-08-09,9,ets,147176.19215802607,127899.37607687236,167411.01017500748
rail_lrt_ampang,2026-08-10,10,ets,219193.86903702945,174440.27035277875,253410.16345156168
rail_lrt_ampang,2026-08-11,11,ets,229615.28275512374,192354.04294377053,261539.46284499892
rail_lrt_ampang,2026-08-12,12,ets,233313.69986272365,196461.96441728418,267471.9712841113
rail_lrt_ampang,2026-08-13,13,ets,231627.7338539902,202800.26897168302,263299.26616825425
rail_lrt_ampang,2026-08-14,14,ets,231278.60580509025,207233.9751405461,265215.96557033167
rail_lrt_ampang,2026-08-01,1,lgbm_nohol,155761.45461829164,142838.237321784,168623.21398215115
rail_lrt_ampang,2026-08-02,2,lgbm_nohol,139626.22408441122,124771.24193569574,156988.54256467865
rail_lrt_ampang,2026-08-03,3,lgbm_nohol,223414.59421445345,175610.675417893,239587.8324274762
rail_lrt_ampang,2026-08-04,4,lgbm_nohol,229768.11128861216,189039.74211724944,246739.5896708507
rail_lrt_ampang,2026-08-05,5,lgbm_nohol,233804.0286457653,200943.82011624673,253290.8911182773
rail_lrt_ampang,2026-08-06,6,lgbm_nohol,232686.89737787342,188473.50069927648,250627.228513061
rail_lrt_ampang,2026-08-07,7,lgbm_nohol,233875.6906375816,182204.73400586183,251900.75218450156
rail_lrt_ampang,2026-08-08,8,lgbm_nohol,156625.57970355847,136658.15220944077,171140.558565422
rail_lrt_ampang,2026-08-09,9,lgbm_nohol,139834.7274725291,121141.21788463062,153362.3465144815
rail_lrt_ampang,2026-08-10,10,lgbm_nohol,224744.62016294,187055.60817913257,238515.78486400697
rail_lrt_ampang,2026-08-11,11,lgbm_nohol,231282.60613355797,196775.27353508284,247262.7526945052
rail_lrt_ampang,2026-08-12,12,lgbm_nohol,233625.70211583033,202420.1991024725,260818.2302930196
rail_lrt_ampang,2026-08-13,13,lgbm_nohol,232593.52605033215,207656.0261017472,251669.86222959615
rail_lrt_ampang,2026-08-14,14,lgbm_nohol,233764.499997729,210823.4630196564,260881.62298330627
rail_lrt_ampang,2026-08-01,1,lgbm,157298.15453366318,144912.31375917446,168294.10533065713
rail_lrt_ampang,2026-08-02,2,lgbm,138955.79642553953,125254.22779271791,151551.634330074
rail_lrt_ampang,2026-08-03,3,lgbm,226199.42916323507,199009.17890474238,243559.28215403558
rail_lrt_ampang,2026-08-04,4,lgbm,229027.54633068608,194287.68525187523,242217.06971380027
rail_lrt_ampang,2026-08-05,5,lgbm,233957.65746393395,207451.29888584872,250694.61175163896
rail_lrt_ampang,2026-08-06,6,lgbm,232694.37694551938,199711.51392485207,253357.58065745636
rail_lrt_ampang,2026-08-07,7,lgbm,234517.92331200416,204451.80104706014,254498.01721185475
rail_lrt_ampang,2026-08-08,8,lgbm,158021.76780912216,136854.67533689854,173542.58415242538
rail_lrt_ampang,2026-08-09,9,lgbm,139601.10349989103,121091.43013443355,153372.98562510242
rail_lrt_ampang,2026-08-10,10,lgbm,227357.53360927236,204556.58699617605,239429.35818187147
rail_lrt_ampang,2026-08-11,11,lgbm,230398.93959366338,205138.81834261253,245920.486778541
rail_lrt_ampang,2026-08-12,12,lgbm,231185.11471846988,204367.24683445145,250356.71756828987
rail_lrt_ampang,2026-08-13,13,lgbm,230039.84122976314,208523.51856406152,246868.94180623716
rail_lrt_ampang,2026-08-14,14,lgbm,231546.60801837352,213539.10108649224,250943.19975246143
rail_mrt_kajang,2026-08-01,1,seasonal_naive,240049.0,216498.07274639953,278120.9979247749
rail_mrt_kajang,2026-08-02,2,seasonal_naive,190500.0,163865.7776139412,226959.11641396454
rail_mrt_kajang,2026-08-03,3,seasonal_naive,293962.0,223238.16811125996,380207.8193991467
rail_mrt_kajang,2026-08-04,4,seasonal_naive,307158.0,258839.21285142677,374799.7217714131
rail_mrt_kajang,2026-08-05,5,seasonal_naive,312504.0,254061.67420685367,363563.4248865889
rail_mrt_kajang,2026-08-06,6,seasonal_naive,314910.0,255251.05352776588,351592.5593392159
rail_mrt_kajang,2026-08-07,7,seasonal_naive,316544.0,240156.96036461627,352503.4648941292
rail_mrt_kajang,2026-08-08,8,seasonal_naive,240049.0,211749.47993783472,280767.2445256273
rail_mrt_kajang,2026-08-09,9,seasonal_naive,190500.0,159265.18766472567,227007.6440297987
rail_mrt_kajang,2026-08-10,10,seasonal_naive,293962.0,247460.83443930984,362692.84889468295
rail_mrt_kajang,2026-08-11,11,seasonal_naive,307158.0,255325.09207775732,368049.9179123723
rail_mrt_kajang,2026-08-12,12,seasonal_naive,312504.0,256881.50410818757,378937.3724808527
rail_mrt_kajang,2026-08-13,13,seasonal_naive,314910.0,277011.3791108953,363199.1980256686
rail_mrt_kajang,2026-08-14,14,seasonal_naive,316544.0,276277.7281876988,357292.4028221547
rail_mrt_kajang,2026-08-01,1,weekday_mean,222263.25,199890.7506863755,248597.5877823219
rail_mrt_kajang,2026-08-02,2,weekday_mean,186729.25,160805.19714894192,218654.17359380203
rail_mrt_kajang,2026-08-03,3,weekday_mean,293797.25,235612.45969372237,343640.04147454957
rail_mrt_kajang,2026-08-04,4,weekday_mean,307741.0,233794.03164472,355280.02621298406
rail_mrt_kajang,2026-08-05,5,weekday_mean,312372.25,261845.89952790565,358044.36563901504
rail_mrt_kajang,2026-08-06,6,weekday_mean,310474.0,257018.16537735914,348395.31611958484
rail_mrt_kajang,2026-08-07,7,weekday_mean,309621.25,244756.79163510026,354070.536369571
rail_mrt_kajang,2026-08-08,8,weekday_mean,222263.25,196576.59461100018,253299.892069542
rail_mrt_kajang,2026-08-09,9,weekday_mean,186729.25,159742.2238151223,213450.44916462773
